post_id,platform,post_type,day_of_week,hour_of_day,is_weekend,hashtag_count,caption_length,follower_count,likes,comments,shares,engagement_rate
P00000,linkedin,carousel,Fri,8,0,10,162,199301,5243,896,602,3.712
P00001,facebook,video,Sat,5,1,9,298,112084,2592,395,365,3.185
P00002,twitter,text,Tue,12,0,1,40,8180,199,32,33,2.971
P00003,facebook,carousel,Wed,15,0,2,361,179597,4070,387,789,2.993
P00004,instagram,image,Sun,6,1,11,208,190129,5243,842,581,3.91
P00005,linkedin,text,Sat,18,1,11,241,55972,1460,179,232,3.597
P00006,facebook,carousel,Wed,15,0,11,79,80371,2813,459,502,4.594
P00007,instagram,carousel,Tue,3,0,3,213,5682,161,10,30,3.518
P00008,instagram,image,Wed,22,0,10,6,160340,4862,598,368,4.019
P00009,facebook,video,Thu,1,0,1,356,155243,3303,469,408,2.621
P00010,instagram,video,Thu,15,0,2,300,4615,185,21,31,4.841
P00011,instagram,text,Tue,10,0,9,184,140624,3473,341,233,3.288
P00012,instagram,video,Mon,15,0,12,335,82670,2561,301,293,3.778
P00013,facebook,carousel,Thu,18,0,13,325,109325,2617,491,395,3.329
P00014,facebook,video,Sat,16,1,19,52,44057,1375,127,185,4.093
P00015,facebook,image,Tue,15,0,17,26,163160,2970,360,512,2.548
P00016,instagram,video,Wed,20,0,7,105,81179,3189,671,255,5.549
P00017,instagram,image,Tue,16,0,15,5,168096,3462,689,627,2.902
P00018,facebook,carousel,Tue,19,0,1,231,30080,918,68,100,4.264
P00019,instagram,video,Fri,9,0,17,213,117786,4261,532,684,4.383
P00020,facebook,carousel,Wed,4,0,7,217,62375,1506,109,177,3.088
P00021,instagram,video,Tue,5,0,15,34,193202,6231,1054,402,3.83
P00022,instagram,text,Sun,14,1,19,367,111598,974,118,183,1.118
P00023,instagram,text,Tue,12,0,14,390,144082,2996,346,483,2.618
P00024,facebook,carousel,Tue,1,0,18,238,17694,476,51,55,3.7
P00025,instagram,image,Sun,4,1,0,7,135536,2052,281,202,1.938
P00026,linkedin,video,Thu,23,0,3,161,20665,652,56,94,4.164
P00027,instagram,image,Mon,17,0,12,288,72603,1388,215,246,2.276
P00028,facebook,image,Wed,18,0,10,300,44884,1539,182,145,4.08
P00029,facebook,carousel,Thu,4,0,2,101,950,17,2,3,2.452
P00030,instagram,carousel,Tue,1,0,14,329,117464,2509,424,263,2.694
P00031,facebook,text,Thu,6,0,1,387,48568,502,43,76,1.299
P00032,instagram,image,Fri,20,0,19,205,102759,2426,209,273,3.009
P00033,facebook,video,Tue,12,0,3,155,152902,5476,702,446,4.983
P00034,instagram,video,Sat,18,1,8,212,36042,1940,313,349,6.743
P00035,linkedin,image,Thu,11,0,16,15,142119,2386,163,193,2.048
P00036,twitter,image,Sun,11,1,10,211,59757,1922,331,369,4.278
P00037,instagram,video,Mon,14,0,14,15,66538,2371,305,184,4.585
P00038,facebook,image,Wed,23,0,14,18,115610,2260,334,242,2.724
P00039,linkedin,carousel,Sat,10,1,18,223,125303,3553,450,601,3.377
P00040,instagram,video,Sun,14,1,9,206,131251,4250,330,687,4.52
P00041,linkedin,carousel,Tue,22,0,19,394,39459,461,47,43,1.596
P00042,facebook,carousel,Sun,8,1,10,205,116132,2835,478,416,3.278
